Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location,Private
AI-6601 - Start-of-Course Survey,9/4/23,6:00 AM,9/4/23,8:00 AM,FALSE,AI-6601 - Start-of-Course Survey,,FALSE
AI-6601 - Assignment 0,9/4/23,6:00 AM,9/4/23,8:00 AM,FALSE,AI-6601 - Assignment 0,,FALSE
AI-6601 - Plagiarism Quiz,9/4/23,6:00 AM,9/4/23,8:00 AM,FALSE,AI-6601 - Plagiarism Quiz,,FALSE
AI-6601 - Assignment 1,9/11/23,6:00 AM,9/11/23,8:00 AM,FALSE,AI-6601 - Assignment 1,,FALSE
AI-6601 - Assignment 1 - Bonus,9/18/23,6:00 AM,9/18/23,8:00 AM,FALSE,AI-6601 - Assignment 1 - Bonus,,FALSE
AI-6601 - Assignment 2,9/25/23,6:00 AM,9/25/23,8:00 AM,FALSE,AI-6601 - Assignment 2,,FALSE
AI-6601 - Assignment 2 - Bonus,10/2/23,6:00 AM,10/2/23,8:00 AM,FALSE,AI-6601 - Assignment 2 - Bonus,,FALSE
AI-6601 - Assignment 3,10/9/23,6:00 AM,10/9/23,8:00 AM,FALSE,AI-6601 - Assignment 3,,FALSE
AI-6601 - Midterm,10/18/23,6:00 AM,10/18/23,8:00 AM,FALSE,AI-6601 - Midterm,,FALSE
AI-6601 - Assignment 4,10/30/23,6:00 AM,10/30/23,8:00 AM,FALSE,AI-6601 - Assignment 4,,FALSE
AI-6601 - Assignment 4 - Bonus,11/6/23,6:00 AM,11/6/23,8:00 AM,FALSE,AI-6601 - Assignment 4 - Bonus,,FALSE
AI-6601 - Assignment 5,11/13/23,6:00 AM,11/13/23,8:00 AM,FALSE,AI-6601 - Assignment 5,,FALSE
AI-6601 - Assignment 6,12/4/23,6:00 AM,12/4/23,8:00 AM,FALSE,AI-6601 - Assignment 6,,FALSE
AI-6601 - Final Quiz,12/11/23,6:00 AM,12/11/23,8:00 AM,FALSE,AI-6601 - Final Quiz,,FALSE
AI-6601 - Roll Call Attendance,12/11/23,6:00 AM,12/11/23,8:00 AM,FALSE,AI-6601 - Roll Call Attendance,,FALSE
