Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location,Private
EdTech-6460 - Assignment 1,5/20/24,7:00 AM,5/20/24,9:00 AM,FALSE,EdTech-6460 - Assignment 1,,FALSE
EdTech-6460 - Start-of-Course Survey,5/20/24,7:00 AM,5/20/24,9:00 AM,FALSE,EdTech-6460 - Start-of-Course Survey,,FALSE
EdTech-6460 - Assignment 2,5/27/24,7:00 AM,5/27/24,9:00 AM,FALSE,EdTech-6460 - Assignment 2,,FALSE
EdTech-6460 - Assignment 3,6/3/24,7:00 AM,6/3/24,9:00 AM,FALSE,EdTech-6460 - Assignment 3,,FALSE
EdTech-6460 - Qualifier Question,6/10/24,7:00 AM,6/10/24,9:00 AM,FALSE,EdTech-6460 - Qualifier Question,,FALSE
EdTech-6460 - Quarter-Course Survey,6/10/24,7:00 AM,6/10/24,9:00 AM,FALSE,EdTech-6460 - Quarter-Course Survey,,FALSE
EdTech-6460 - Project Proposal,6/17/24,7:00 AM,6/17/24,9:00 AM,FALSE,EdTech-6460 - Project Proposal,,FALSE
EdTech-6460 - Weekly Status Check 1,6/24/24,7:00 AM,6/24/24,9:00 AM,FALSE,EdTech-6460 - Weekly Status Check 1,,FALSE
EdTech-6460 - Intermediate Milestone 1,7/1/24,7:00 AM,7/1/24,9:00 AM,FALSE,EdTech-6460 - Intermediate Milestone 1,,FALSE
EdTech-6460 - Weekly Status Check 2,7/1/24,7:00 AM,7/1/24,9:00 AM,FALSE,EdTech-6460 - Weekly Status Check 2,,FALSE
EdTech-6460 - Mid-Course Survey,7/8/24,7:00 AM,7/8/24,9:00 AM,FALSE,EdTech-6460 - Mid-Course Survey,,FALSE
EdTech-6460 - Weekly Status Check 3,7/8/24,7:00 AM,7/8/24,9:00 AM,FALSE,EdTech-6460 - Weekly Status Check 3,,FALSE
EdTech-6460 - Intermediate Milestone 2,7/15/24,7:00 AM,7/15/24,9:00 AM,FALSE,EdTech-6460 - Intermediate Milestone 2,,FALSE
EdTech-6460 - Weekly Status Check 4,7/15/24,7:00 AM,7/15/24,9:00 AM,FALSE,EdTech-6460 - Weekly Status Check 4,,FALSE
EdTech-6460 - Weekly Status Check 5,7/22/24,7:00 AM,7/22/24,9:00 AM,FALSE,EdTech-6460 - Weekly Status Check 5,,FALSE
EdTech-6460 - Final Project,7/29/24,7:00 AM,7/29/24,9:00 AM,FALSE,EdTech-6460 - Final Project,,FALSE
