Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location,Private,assignment,class,due,"due dow, time"
GA-6515 - HW0 ,8/28/23,6:00 AM,8/28/23,8:00 AM,FALSE,GA-6515 - HW0 ,,FALSE,HW0 ,GA-6515,Aug 28,"Mon, 7:59am"
GA-6515 - Comms + Logistics Quiz,8/28/23,6:00 AM,8/28/23,8:00 AM,FALSE,GA-6515 - Comms + Logistics Quiz,,FALSE,Comms + Logistics Quiz,GA-6515,Aug 28,"Mon, 7:59am"
GA-6515 - HW1,9/4/23,6:00 AM,9/4/23,8:00 AM,FALSE,GA-6515 - HW1,,FALSE,HW1,GA-6515,Sep 4,"Mon, 7:59am"
GA-6515 - Quiz 1,9/4/23,6:00 AM,9/4/23,8:00 AM,FALSE,GA-6515 - Quiz 1,,FALSE,Quiz 1,GA-6515,Sep 4,"Mon, 7:59am"
GA-6515 - HW2,9/11/23,6:00 AM,9/11/23,8:00 AM,FALSE,GA-6515 - HW2,,FALSE,HW2,GA-6515,Sep 11,"Mon, 7:59am"
GA-6515 - Quiz 2,9/11/23,6:00 AM,9/11/23,8:00 AM,FALSE,GA-6515 - Quiz 2,,FALSE,Quiz 2,GA-6515,Sep 11,"Mon, 7:59am"
GA-6515 - Coding Project I,9/11/23,6:00 AM,9/11/23,8:00 AM,FALSE,GA-6515 - Coding Project I,,FALSE,Coding Project I,GA-6515,Sep 11,"Mon, 7:59am"
GA-6515 - Academic Integrity Quiz,9/18/23,6:00 AM,9/18/23,8:00 AM,FALSE,GA-6515 - Academic Integrity Quiz,,FALSE,Academic Integrity Quiz,GA-6515,Sep 18,"Mon, 7:59am"
GA-6515 - HW3,9/18/23,6:00 AM,9/18/23,8:00 AM,FALSE,GA-6515 - HW3,,FALSE,HW3,GA-6515,Sep 18,"Mon, 7:59am"
GA-6515 - Coding Project II,9/18/23,6:00 AM,9/18/23,8:00 AM,FALSE,GA-6515 - Coding Project II,,FALSE,Coding Project II,GA-6515,Sep 18,"Mon, 7:59am"
GA-6515 - Exam 1,9/25/23,6:00 AM,9/25/23,8:00 AM,FALSE,GA-6515 - Exam 1,,FALSE,Exam 1,GA-6515,Sep 25,"Mon, 7:59am"
GA-6515 - HW4,10/2/23,6:00 AM,10/2/23,8:00 AM,FALSE,GA-6515 - HW4,,FALSE,HW4,GA-6515,Oct 2,"Mon, 7:59am"
GA-6515 - Quiz 3,10/2/23,6:00 AM,10/2/23,8:00 AM,FALSE,GA-6515 - Quiz 3,,FALSE,Quiz 3,GA-6515,Oct 2,"Mon, 7:59am"
GA-6515 - HW5,10/9/23,6:00 AM,10/9/23,8:00 AM,FALSE,GA-6515 - HW5,,FALSE,HW5,GA-6515,Oct 9,"Mon, 7:59am"
GA-6515 - Quiz 4,10/9/23,6:00 AM,10/9/23,8:00 AM,FALSE,GA-6515 - Quiz 4,,FALSE,Quiz 4,GA-6515,Oct 9,"Mon, 7:59am"
GA-6515 - Coding Project III,10/16/23,6:00 AM,10/16/23,8:00 AM,FALSE,GA-6515 - Coding Project III,,FALSE,Coding Project III,GA-6515,Oct 16,"Mon, 7:59am"
GA-6515 - Quiz 5,10/16/23,6:00 AM,10/16/23,8:00 AM,FALSE,GA-6515 - Quiz 5,,FALSE,Quiz 5,GA-6515,Oct 16,"Mon, 7:59am"
GA-6515 - Exam 2,10/23/23,6:00 AM,10/23/23,8:00 AM,FALSE,GA-6515 - Exam 2,,FALSE,Exam 2,GA-6515,Oct 23,"Mon, 7:59am"
GA-6515 - HW6,10/30/23,6:00 AM,10/30/23,8:00 AM,FALSE,GA-6515 - HW6,,FALSE,HW6,GA-6515,Oct 30,"Mon, 7:59am"
GA-6515 - Quiz 6,10/30/23,6:00 AM,10/30/23,8:00 AM,FALSE,GA-6515 - Quiz 6,,FALSE,Quiz 6,GA-6515,Oct 30,"Mon, 7:59am"
GA-6515 - HW7,11/6/23,6:00 AM,11/6/23,8:00 AM,FALSE,GA-6515 - HW7,,FALSE,HW7,GA-6515,Nov 6,"Mon, 7:59am"
GA-6515 - Quiz 7,11/6/23,6:00 AM,11/6/23,8:00 AM,FALSE,GA-6515 - Quiz 7,,FALSE,Quiz 7,GA-6515,Nov 6,"Mon, 7:59am"
