Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location,Private
LLM-8001 - Survey: Identify a Topic of Interest,5/17/24,9:59 PM,5/17/24,11:59 PM,FALSE,LLM-8001 - Survey: Identify a Topic of Interest,,FALSE
LLM-8001 - Create Discussion Post on Week 1: LLM Overview,5/17/24,9:59 PM,5/17/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 1: LLM Overview,,FALSE
LLM-8001 - Reply to 2 Posts on Week 1: LLM Overview,5/17/24,9:59 PM,5/17/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 1: LLM Overview,,FALSE
LLM-8001 - Create Discussion Post on Week 2: Intro to HCI,5/24/24,9:59 PM,5/24/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 2: Intro to HCI,,FALSE
LLM-8001 - Reply to 2 Posts on Week 2: Intro to HCI,5/24/24,9:59 PM,5/31/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 2: Intro to HCI,,FALSE
LLM-8001 - Create Discussion Post on Week 3: Methods of LLM Design,5/31/24,9:59 PM,5/31/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 3: Methods of LLM Design,,FALSE
LLM-8001 - Reply to 2 Posts on Week 3: Methods of LLM Design,5/31/24,9:59 PM,6/7/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 3: Methods of LLM Design,,FALSE
LLM-8001 - Create Discussion Post on Week 4: Evaluation Methods of LLMs ,6/7/24,9:59 PM,6/7/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 4: Evaluation Methods of LLMs ,,FALSE
LLM-8001 - Reply to 2 Posts on Week 4: Evaluation Methods of LLMs ,6/7/24,9:59 PM,6/14/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 4: Evaluation Methods of LLMs ,,FALSE
LLM-8001 - Midpoint Learning Assessment,6/14/24,9:59 PM,6/14/24,11:59 PM,FALSE,LLM-8001 - Midpoint Learning Assessment,,FALSE
LLM-8001 - Create Discussion Post on Week 5: Ethics of LLMs ,6/14/24,9:59 PM,6/14/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 5: Ethics of LLMs ,,FALSE
LLM-8001 - Reply to 2 Posts on Week 5: Ethics of LLMs ,6/14/24,9:59 PM,6/28/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 5: Ethics of LLMs ,,FALSE
LLM-8001 - Create Discussion Post on Week 7: Accessibility and Equity in LLMs,6/28/24,9:59 PM,6/28/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 7: Accessibility and Equity in LLMs,,FALSE
LLM-8001 - Reply to 2 Posts on Week 7: Accessibility and Equity in LLMs,6/28/24,9:59 PM,7/12/24,11:59 PM,FALSE,LLM-8001 - Reply to 2 Posts on Week 7: Accessibility and Equity in LLMs,,FALSE
LLM-8001 - Create Discussion Post on Week 9: Project Discussion,7/12/24,9:59 PM,7/12/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 9: Project Discussion,,FALSE
LLM-8001 - Create Discussion Post on Week 10: Project Discussion,7/19/24,9:59 PM,7/19/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 10: Project Discussion,,FALSE
LLM-8001 - Create Discussion Post on Week 11: Project Discussion,7/26/24,9:59 PM,7/26/24,11:59 PM,FALSE,LLM-8001 - Create Discussion Post on Week 11: Project Discussion,,FALSE
LLM-8001 - Group Presentation on Gathertown,7/26/24,9:59 PM,7/26/24,11:59 PM,FALSE,LLM-8001 - Group Presentation on Gathertown,,FALSE
LLM-8001 - Self-learning Assessment,7/26/24,9:59 PM,7/26/24,11:59 PM,FALSE,LLM-8001 - Self-learning Assessment,,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 1,5/15/24,8:00 PM,5/15/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 1

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 2,5/22/24,8:00 PM,5/22/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 2

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 3,5/29/24,8:00 PM,5/29/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 3

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 4,6/5/24,8:00 PM,6/5/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 4

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 5,6/12/24,8:00 PM,6/12/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 5

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 7,6/26/24,8:00 PM,6/26/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 7

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 9,7/10/24,8:00 PM,7/10/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 9

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 10,7/17/24,8:00 PM,7/17/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 10

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
LLM-8001 - OMCS 8001: LLM Seminar - Week 11,7/24/24,8:00 PM,7/24/24,9:00 PM,FALSE,"LLM-8801 - OMCS 8001: LLM Seminar - Week 11

Join URL: <redacted>
Meeting ID: <redacted>
Passcode: <redacted>",,FALSE
