Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location,Private,assignment,class,due,"due dow, time"
SDP-6300 - Assignment 1: Team Matching,1/15/24,6:00 AM,1/15/24,8:00 AM,FALSE,SDP-6300 - Assignment 1: Team Matching,,FALSE,Assignment 1: Team Matching,SDP-6300,1/15/24,"Mon, 7:59am"
SDP-6300 - Team Matching Survey,1/15/24,6:00 AM,1/15/24,8:00 AM,FALSE,SDP-6300 - Team Matching Survey,,FALSE,Team Matching Survey,SDP-6300,1/15/24,"Mon, 7:59am"
SDP-6300 - 2: Git Usage,1/22/24,6:00 AM,1/22/24,8:00 AM,FALSE,SDP-6300 - 2: Git Usage,,FALSE,2: Git Usage,SDP-6300,1/22/24,"Mon, 7:59am"
SDP-6300 - Assignment 3: Basic Java Coding and JUnit,1/29/24,6:00 AM,1/29/24,8:00 AM,FALSE,SDP-6300 - Assignment 3: Basic Java Coding and JUnit,,FALSE,Assignment 3: Basic Java Coding and JUnit,SDP-6300,1/29/24,"Mon, 7:59am"
SDP-6300 - Participation / Syllabus Quiz,1/29/24,6:00 AM,1/29/24,8:00 AM,FALSE,SDP-6300 - Participation / Syllabus Quiz,,FALSE,Participation / Syllabus Quiz,SDP-6300,1/29/24,"Mon, 7:59am"
SDP-6300 - Assignment 4: Simple Android App,2/5/24,6:00 AM,2/5/24,8:00 AM,FALSE,SDP-6300 - Assignment 4: Simple Android App,,FALSE,Assignment 4: Simple Android App,SDP-6300,2/5/24,"Mon, 7:59am"
SDP-6300 - Assignment 5: Software Design,2/12/24,6:00 AM,2/12/24,8:00 AM,FALSE,SDP-6300 - Assignment 5: Software Design,,FALSE,Assignment 5: Software Design,SDP-6300,2/12/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Deliverable 0",2/12/24,6:00 AM,2/12/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Deliverable 0",,FALSE,"Group Project, Deliverable 0",SDP-6300,2/12/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Deliverable 1",2/19/24,6:00 AM,2/19/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Deliverable 1",,FALSE,"Group Project, Deliverable 1",SDP-6300,2/19/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Weekly Report 1",2/19/24,6:00 AM,2/19/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Weekly Report 1",,FALSE,"Group Project, Weekly Report 1",SDP-6300,2/19/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Deliverable 2",2/26/24,6:00 AM,2/26/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Deliverable 2",,FALSE,"Group Project, Deliverable 2",SDP-6300,2/26/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Individual Assessments, Initial Design & Discussion",2/26/24,6:00 AM,2/26/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Individual Assessments, Initial Design & Discussion",,FALSE,"Group Project, Individual Assessments, Initial Design & Discussion",SDP-6300,2/26/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Weekly Report 2",2/26/24,6:00 AM,2/26/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Weekly Report 2",,FALSE,"Group Project, Weekly Report 2",SDP-6300,2/26/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Deliverable 3",3/4/24,6:00 AM,3/4/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Deliverable 3",,FALSE,"Group Project, Deliverable 3",SDP-6300,3/4/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Weekly Report 3",3/4/24,6:00 AM,3/4/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Weekly Report 3",,FALSE,"Group Project, Weekly Report 3",SDP-6300,3/4/24,"Mon, 7:59am"
"SDP-6300 - Group Project, Deliverable 4",3/11/24,6:00 AM,3/11/24,8:00 AM,FALSE,"SDP-6300 - Group Project, Deliverable 4",,FALSE,"Group Project, Deliverable 4",SDP-6300,3/11/24,"Mon, 7:59am"
